1689018015380304,796,-609,147,21,420,888,801,-282,-460,-472,437,1338
1689018015381624,798,-618,144,1798,-2712,-3141,806,-287,-462,2248,-1767,-1343
1689018015382945,797,-604,149,910,-26,-2695,803,-277,-466,888,0,-1343
1689018015384254,798,-603,144,-866,4003,1334,801,-281,-460,-17,879,-896
1689018015385579,796,-602,147,-2642,6689,1334,799,-284,-463,1338,437,0
1689018015386882,797,-604,150,910,3556,-8,802,-280,-463,-1833,1321,-896
1689018015388191,801,-608,144,-424,-923,-1798,800,-282,-466,433,-3088,-450
1689018015389507,800,-605,148,2240,-1815,-8,805,-286,-466,-472,1321,446
1689018015390829,797,-607,150,-1312,1316,1334,802,-281,-463,1789,0,2231
1689018015392141,785,-600,146,-424,420,2231,792,-278,-464,-472,879,0
1689018015393447,796,-607,146,910,5346,-1351,807,-283,-465,-2288,-1325,-2681
1689018015394773,799,-606,148,910,870,-1798,806,-278,-465,433,437,-896
1689018015396084,797,-605,148,-1754,1316,1780,803,-282,-467,883,879,1785
1689018015397396,801,-610,142,3128,-1815,437,807,-283,-467,-2288,3968,2677
1689018015398709,800,-608,146,1798,-2266,437,807,-287,-460,883,1321,892
1689018015400015,796,-600,148,-2200,3556,1780,801,-281,-460,4055,-2646,0
1689018015401340,794,-607,151,21,-472,-455,804,-278,-465,1338,-1325,-1789
1689018015402663,796,-603,142,1351,7581,3123,798,-277,-459,1338,-1325,2677
1689018015403976,798,-604,146,-1312,3556,437,800,-277,-461,2699,437,2231
1689018015405301,801,-608,142,-1312,-26,437,801,-281,-461,-1833,1321,892
1689018015406626,798,-607,149,-1312,-1369,888,798,-275,-458,-1378,-1767,446
1689018015407943,796,-610,140,2686,-2266,1334,795,-283,-460,3150,1321,0
1689018015409257,799,-607,151,1351,2213,-1351,795,-284,-460,-1833,-1767,-450
1689018015410583,802,-606,150,-1754,5792,3574,802,-282,-458,883,-2646,-2235
1689018015411891,802,-608,144,-866,1763,-8,796,-275,-459,1338,1763,-896
1689018015413198,799,-605,147,-2642,1316,3574,794,-280,-467,-472,4847,1785
1689018015414570,797,-606,151,4462,-5845,-1798,799,-281,-467,-3193,-2205,0
1689018015415873,796,-613,145,-424,-1815,888,799,-282,-468,-1378,1763,-1789
1689018015417186,795,-611,146,-424,-2266,-8,804,-288,-465,3605,-1325,446
1689018015418506,801,-615,148,-1754,1763,-8,810,-281,-463,-1378,1763,3123
1689018015419829,804,-613,151,3574,1316,437,800,-285,-467,4961,-1767,-4020
1689018015421183,799,-612,148,-866,2660,2231,803,-286,-464,433,-441,-896
1689018015422507,801,-610,144,463,1763,437,808,-284,-461,2244,-1325,-1789
1689018015423826,799,-616,150,-1754,420,3574,796,-280,-460,3605,-3530,-450
1689018015425134,794,-607,147,910,-1815,888,796,-287,-457,883,2200,1338
1689018015426443,795,-611,146,-3088,4003,-8,807,-286,-458,-1833,3084,-450
1689018015427766,800,-609,147,-424,4895,2231,805,-289,-463,-2288,2200,892
1689018015429082,800,-613,154,1798,3556,-905,809,-286,-461,-927,1763,2231
1689018015430396,794,-611,152,910,3106,-1351,800,-284,-454,883,-883,446
1689018015431710,794,-606,149,-1754,-26,2231,801,-274,-463,-21,-1767,-896
1689018015433024,792,-607,147,1798,-3158,-2248,801,-278,-459,1338,879,-1343
1689018015434348,790,-607,147,1351,-472,4913,800,-290,-462,-2288,1321,5801
1689018015435671,794,-607,152,-3976,5346,-3587,802,-288,-459,-2288,437,892
1689018015436991,799,-607,154,-1312,8925,2231,805,-283,-464,-472,1321,-1789
1689018015438300,799,-613,158,3574,-3158,-3587,813,-288,-461,1789,1763,-2681
